State,New,Confirmed,Deaths
Total,14,1003,21
Delhi,9,49,1
Maharashtra,5,186,4
Kerala,0,182,1
Karnataka,0,76,3
Telangana,0,65,0
Uttar Pradesh,0,61,0
Gujarat,0,55,4
Rajasthan,0,54,0
Tamil Nadu,0,42,1
Punjab,0,38,1
Haryana,0,34,0
Madhya Pradesh,0,34,2
Jammu and Kashmir,0,33,1
West Bengal,0,17,1
Ladakh,0,13,0
Andhra Pradesh,0,13,0
Bihar,0,9,1
Andaman and Nicobar Islands,0,9,0
Chandigarh,0,8,0
Chhattisgarh,0,7,0
Uttarakhand,0,6,0
Himachal Pradesh,0,3,1
Goa,0,3,0
Odisha,0,3,0
Puducherry,0,1,0
Manipur,0,1,0
Mizoram,0,1,0
